,Location,Scene,Text,Speaker,Season
8843,The apartment,,Oh uh we played once. I broke a window.,Leonard,7
8844,The same,,Oh.,Leonard,3
8845,The Comic Book Store,,Mm conducting experiments in zero gravity.,Leonard,6
8846,The apartment,,Warlord beats troll troll beats elf elf beats water sprite and basically everything beats enchanted bunny.,Leonard,3
8847,Sheldon and Amy’s apartment,,I feel the same way about you. Now put your glasses back on. You look weird.,Sheldon,10
8848,The apartment,,You think she’s taking advantage of him?,Leonard,5
8849,The apartment,,,Howard,2
8850,Bert’s apartment,,Yeah I mean I could see him eating one or two guests but not a whole party.,Penny,10
8851,Raj’s apartment,,,Howard,6
8852,The Entomology Department,,Ask rhetorical questions that make people uncomfortable?,Raj,3
8853,The apartment,,Good. What’s your favourite fruit?,Sheldon,2
8854,Outside in stairwell,,Howard why don’t we just work on the robot?,Leonard,2
8855,Penny’s apartment,,So how was your day?,Sheldon,2
8856,The lab,,Nice little bot you’ve got here.,Leonard,2
8857,The comic book store,,How about your grandparents they alive?,Sheldon,5
8858,The apartment,,Sure. So are we doing this?,Leonard,9
8859,The apartment,,Not the kind with access to drugs.,Leonard,4
8860,The telescope room,,Yeah but it’s probably difficult to pronounce.,Raj,10
8861,A shoe shop,,Sorry.,Leonard,4
8862,Penny’s apartment," Penny is on the phone,",Hey Leonard. How’s the train ride?,Penny,2
8863,The cafeteria,,You’re right. Let’s talk about your grandmother.,Howard,3
8864,Leonard and Penny’s bedroom,,No.,Leonard,10
8865,The apartment,,Well then it’s settled?,Sheldon,8
8866,Penny’s apartment,,Oh.,Penny,4
8867,The apartment,,It’s indoors so no sunscreen.,Leonard,9
8868,The bar,,Yes. Indeed. Absolutely. Indubitably. I’m not even sure what the last one means but it’s another word and I know it. So uh when do you want to meet up?,Howard,9
8869,The apartment,,No.,Sheldon,7
8870,Outside Todd Zarnecki’s house,,Can I at least kick down the door?,Sheldon,4
8871,Vasquez Rocks," Sheldon, dressed as Data, is having his makeup put on by Raj, dressed as Worf,",Mine too. Anybody got any ideas?,Leonard,6
8872,The apartment,,You know what? She was kind of an honorary man. She had a penis made of science.,Sheldon,9
8873,A restaurant,,Wow. Wouldn’t think there’d be that many.,Leonard,4
8874,The apartment,,I’m not suggesting we really make her jump out of a pool. I thought the “bazinga” was implied. I’m just tweaking her personality sanding off the rough edges if you will.,Sheldon,3
8875,The apartment,,Are you listening to yourself? Do you know how childish you sound right now?,Leonard,3
8876,A restaurant,,Leonard you know I will always have feelings for you.,Penny,5
8877,The living room,,You told her I lied why would you tell her I lied?,Leonard,1
8878,Penny’s apartment,,Okay okay let’s try that last line again and this time maybe try choking up a little.,Penny,4
8879,The apartment,,Okay where are you?,Leonard,4
8880,The laundry room,,You used to it yet?,Leonard,3
8881,The apartment," Raj is lighting candles, Indian music is playing,",A Godzilla-like monster is approaching the city. I have to get my people to safety. People of Sheldonopolis this is your mayor. Follow me. If the children can’t run leave them behind. Oh the simulated horror!  Raj? Just as I suspected. Meditation is nothing but hokum.,Sheldon,3
8882,The Comic Book Store,,Uh thank you for the drink.,Raj,6
8883,The apartment,,I just ate aren’t you supposed to wait an hour?,Leonard,2
8884,The apartment,,But that’s my room.,Sheldon,10
8885,The university cafeteria,,Yeah Leonard who?,Raj,4
8886,Amy’s laboratory,,Oh actually that’s a Van Dyke. A goatee is just hair on the chin.,Howard,7
8887,The apartment,,Oh Howard I can’t believe Bernadette let you go to a fancy party wearing a dickey.,Penny,4
8888,The lab,,No.,Howard,10
8889,The university cafeteria,,,Howard,3
8890,Sometime later," The guys are on the settee, Howard is seen asleep, he is not holding the ring, The camera pans along to where Sheldon and Raj still hold the ring, Raj, also asleep, lets go and cuddles up to Howard,",Well so then we start the game over until there’s a winner.,Raj,3
8891,A bar,,Okay. ‘Cause if I had to pick now I’d probably go with dark matter because…,Sheldon,7
8892,The comic book store,,Yeah see if you just change the story to the destruction of our galaxy then a super massive black hole could work.,Raj,9
8893,Sheldon’s bedroom,,No I don’t want to go to sleep you can’t make me.,Sheldon,8
8894,The apartment,,I hear you don’t like my stuffed animals my driving or my punctuality.,Penny,3
8895,The escape room,,We spent two hundred dollars on six minutes of fun?,Leonard,8
8896,The apartment," The guys are playing Wii bowling,",Hang on a sec. Why do you get first crack at her?,Howard,2
8897,Howard and Bernadette’s kitchen,,I think you were mean before you were pregnant but it’s fine. So uh instead of cleaning out the room why don’t we just decide on a theme for the nursery?,Raj,10
8898,Howard and Raj sneak up the stairwell carrying presents," Howard knocks on Penny’s door, a combination of two knocks, two knocks, one knock, Nothing happens, He tries again, Sheldon opens the door,",I accept your premise I reject your conclusion.,Sheldon,1
8899,The apartment,,Palak paneer that’s Penny.,Leonard,4
8900,The comic book store,,You know what? I don’t always recognize sarcasm but I do right now and I don’t appreciate it. I’m sorry for your loss. But you’re not the only one whose day has been a disaster.,Sheldon,7
8901,Amy’s apartment," Amy is dancing to “Walking on Sunshine”, Hears door and turns off stereo,",It hurts that you would lie to me Amy. I thought our relationship was based on trust and a mutual admiration that skews in my favour.,Sheldon,6
8902,The cafeteria," Sheldon laughs to himself,",Wrong and let’s keep it clean shall we?,Sheldon,5
8903,A restaurant,,Oh yes. You must be Lakshmi. Uh nice to meet you.,Raj,5
8904,The apartment,,Okay I’m sorry.,Leonard,3
8905,The lobby,,Yeah well I wouldn’t say cool I’d just say that’s Leonard!,Leonard,2
8906,The vets surgery,,Oh. Thank you for taking such good care of my little girl.,Raj,7
8907,The comic book store,,No Raj that’s a terrible idea.,Leonard,10
8908,The same,,I got a better idea. We’re all responsible. I say we all go. Come on who’s with me? Free comic books to anyone who comes with me. I might get punched. You really want to miss that?,Leonard,4
8909,Howard and Raj sneak up the stairwell carrying presents," Howard knocks on Penny’s door, a combination of two knocks, two knocks, one knock, Nothing happens, He tries again, Sheldon opens the door,",That’s because I didn’t bring one.,Sheldon,1
8910,Stuarts former bedroom in Howard and Bernadette’s house,,Sure. I love animated movies.,Howard,9
8911,Penny’s apartment,,Okay imagine your problems are a pen.,Penny,8
8912,The Cheesecake Factory,,My sister.,Raj,4
8913,Soyuz capsule,,,Howard,5
8914,The Wedding Chapel,,Really we’re good.,Penny,9
8915,Howard’s bedroom,,,Howard,2
8916,The apartment," Raj is pouring a white liquid into the main dish of a stereo speaker covered in cling film,",Okay we’re all set.,Raj,2
8917,The bar,,Interesting. So now that he’s gone you want to hang out with me.,Leonard,5
8918,Penny’s car,,Don’t you think it might be a little weird to work for someone you used to date?,Leonard,10
8919,Raj’s apartment,,Just until he gets back on his feet which are looking pretty good in the boots I bought him for his birthday.,Raj,6
8920,The apartment,,The difference is she’s bringing life into the world and you suck it out.,Leonard,9
8921,Penny’s apartment,,I’m so glad you like it.,Penny,3
8922,The apartment,,It’s my sister. Can we not talk about this any more?,Raj,4
8923,Leonard and Penny’s bedroom,,Oh he’s like a different man. He stopped twitching and I think he grew an inch and a half.,Leonard,9
8924,The same," later,",Well I was hiding from a bee but it still counts.,Sheldon,10
8925,The apartment,,Once you open the box it loses its value.,Leonard,5
8926,Howard and Bernadette’s apartment,,They’re comfortable.,Penny,8
8927,Penny’s flat," Penny is on her laptop, Everything around her is littered with empty food packaging and red bull cans, She burps loudly, Sheldon is sitting on the sofa,",Thank you.,Penny,2
8928,City Hall,,He asked her during coitus.,Sheldon,5
8929,The apartment," Sheldon has a series of whiteboards across the room,",A dogapus can play fetch with eight balls. No one can hate that.,Sheldon,4
8930,Inside Penny’s car,,Mm-hmm.,Penny,2
8931,Mrs Wolowitz’s house,,I guess I’m just more of a Pottery Barn Crate and Barrel kind of guy. Maybe Pier 1 if I really want to cut loose.,Howard,8
8932,The lab,,You know it’s been more than a year since I’ve even kissed a girl?,Raj,4
8933,The apartment,,You won’t believe it the military confiscated our project.,Leonard,10
8934,The apartment,,Hmm. You do get me. Someone left a comment.,Sheldon,8
8935,Outside the building,,What are you doing?,Leonard,2
8936,Capital Comics,,So we’d be like owners of a comic book store?,Raj,8
8937,Penny’s apartment,,Okay Raj what’ll it be? ,Penny,1
8938,On the train,,Of course if SkyNet actually did exist in the future a perfect way to infiltrate and destroy mankind would be to send Terminators back posing as actors who have played Terminators in popular films and television series lulling us into a false sense of security i.e. that’s Summer Glau from The Sarah Connor Chronicles. No Summer don’t kill me! I’m pro-robot! Ahh!,Sheldon,2
8939,The stairwell,,I didn’t say anything like that.,Leonard,2
8940,The toilets,,No I mean re-evaluate what we’re doing with the guidance system.,Leonard,9
8941,Outside Raj’s apartment,,Why not? With online shopping and overnight delivery I can get anything I want. Look I just ordered a case of Dinty Moore beef stew and two live lobsters on Amazon.,Raj,6
8942,The apartment,,Whew chilly.,Penny,9
8943,A bar,,Go Amy Farrah Fowler. Follow your endocrine system.,Sheldon,4
8944,Mexico,,And there’s your damsel.,Leonard,9
8945,The cafeteria,,Uh do you mind if I sit?,Leonard,9
8946,The closet,,Well I had to find out if it was personal correspondence or memorabilia. Now as I was saying based on the content…,Sheldon,6
8947,A bar,,Please don’t drag this out. This is never going to come off.,Sheldon,4
8948,Penny," Sheldon, Raj and Leonard stand in the apartment doorway, Romantic music plays from Penny’s apartment door,",Hey if you guys need a fourth I’ll play.,Penny,1
8949,A restaurant,,Oh there he is.,Penny,9
8950,A restaurant,,I invited him.,Sheldon,6
8951,Penny’s door,,Okay.  What’s it supposed to… Oh my God this is so freaky!,Penny,5
8952,A rental car,,Yeah but since you and Penny finally hooked up we thought you two would be having bouncy naked yum-yum night.,Howard,3
8953,The apartment,,How about boys versus girls?,Penny,6
8954,The apartment,,Leviticus 113 “Only that which parteth the hoof and cheweth the cud among the beasts shall ye eat.”,Raj,2
8955,The apartment,,That’s right. And what did he do?,Sheldon,9
8956,Amy’s car,,So what? Why do you even care?,Penny,8
8957,The apartment,,Well it took a little negotiating but I wore him down. Uh we get the asteroid and if you and I have children they all have to be named Rajesh.,Sheldon,9
8958,The apartment,,Well I think tonight was a very good start.,Leonard,2
8959,The cafeteria,,Are you sure you want to do this? Give up your half of the 3-D printer?,Howard,6
8960,The apartment,,Oh it would be great to practice on a real doctor.,Penny,8
8961,Penny’s bedroom,,I know but I have to go to work and I made you breakfast.,Leonard,6
8962,The closet,,Yeah cool.,Leonard,6
8963,A children’s play area,,Size ratio was all wrong. Couldn’t visualize it. Needed bigger carbon atoms.,Sheldon,3
8964,Howard and Bernadette’s bedroom,,Hello?,Howard,10
8965,Howard and Bernadette’s apartment,,Good good. ‘Cause no matter how hard I try I cannot get the twins to look alike.,Raj,7
8966,A basketball court,,Balls in the basket. ,Leonard,5
8967,Howard’s lab,,I think this thing was made in China.,Raj,6
8968,Howard and Bernadette’s kitchen,,You know downward-facing dog comes from the Sanskrit phrase adho mukha shvanasana.,Howard,10
8969,The Apartment,,If anybody cares I still have to pee.,Howard,2
